unique_id,ds,y,published,is_holiday
0,2020-06-25,2946,0.0,0
0,2020-06-26,2096,0.0,0
0,2020-06-27,1568,0.0,0
0,2020-06-28,1667,0.0,0
0,2020-06-29,2144,0.0,0
0,2020-06-30,2033,0.0,0
0,2020-07-01,1815,0.0,0
0,2020-07-02,1716,0.0,0
0,2020-07-03,1602,0.0,1
0,2020-07-04,1242,0.0,1
0,2020-07-05,1483,0.0,0
0,2020-07-06,2012,0.0,0
0,2020-07-07,1972,0.0,0
0,2020-07-08,1897,0.0,0
0,2020-07-09,1729,0.0,0
0,2020-07-10,1717,0.0,0
0,2020-07-11,1437,0.0,0
0,2020-07-12,1440,0.0,0
0,2020-07-13,1914,0.0,0
0,2020-07-14,1997,0.0,0
0,2020-07-15,1915,0.0,0
0,2020-07-16,1938,0.0,0
0,2020-07-17,1694,0.0,0
0,2020-07-18,1445,0.0,0
0,2020-07-19,1561,0.0,0
0,2020-07-20,2006,0.0,0
0,2020-07-21,1907,0.0,0
0,2020-07-22,2047,0.0,0
0,2020-07-23,1777,0.0,0
0,2020-07-24,1659,0.0,0
0,2020-07-25,1274,0.0,0
0,2020-07-26,1520,0.0,0
0,2020-07-27,2094,0.0,0
0,2020-07-28,1967,0.0,0
0,2020-07-29,2217,1.0,0
0,2020-07-30,2639,0.0,0
0,2020-07-31,2313,0.0,0
0,2020-08-01,1196,0.0,0
0,2020-08-02,1317,0.0,0
0,2020-08-03,1681,0.0,0
0,2020-08-04,1861,0.0,0
0,2020-08-05,1742,0.0,0
0,2020-08-06,1726,0.0,0
0,2020-08-07,1440,0.0,0
0,2020-08-08,1100,0.0,0
0,2020-08-09,1296,0.0,0
0,2020-08-10,1599,0.0,0
0,2020-08-11,2515,0.0,0
0,2020-08-12,1633,0.0,0
0,2020-08-13,1718,0.0,0
0,2020-08-14,1639,0.0,0
0,2020-08-15,1262,0.0,0
0,2020-08-16,1328,0.0,0
0,2020-08-17,1755,0.0,0
0,2020-08-18,1734,0.0,0
0,2020-08-19,1810,0.0,0
0,2020-08-20,1623,0.0,0
0,2020-08-21,1509,0.0,0
0,2020-08-22,1124,0.0,0
0,2020-08-23,1220,0.0,0
0,2020-08-24,1773,0.0,0
0,2020-08-25,1887,0.0,0
0,2020-08-26,1685,0.0,0
0,2020-08-27,1760,0.0,0
0,2020-08-28,1468,0.0,0
0,2020-08-29,1128,0.0,0
0,2020-08-30,1223,0.0,0
0,2020-08-31,1674,0.0,0
0,2020-09-01,1755,0.0,0
0,2020-09-02,1581,0.0,0
0,2020-09-03,1645,0.0,0
0,2020-09-04,1472,0.0,0
0,2020-09-05,1150,0.0,0
0,2020-09-06,1494,0.0,0
0,2020-09-07,2042,0.0,1
0,2020-09-08,2159,0.0,0
0,2020-09-09,2078,0.0,0
0,2020-09-10,2222,0.0,0
0,2020-09-11,1809,0.0,0
0,2020-09-12,1445,0.0,0
0,2020-09-13,1516,0.0,0
0,2020-09-14,2019,0.0,0
0,2020-09-15,1929,0.0,0
0,2020-09-16,1852,0.0,0
0,2020-09-17,1984,0.0,0
0,2020-09-18,1723,0.0,0
0,2020-09-19,1563,0.0,0
0,2020-09-20,1921,0.0,0
0,2020-09-21,2339,0.0,0
0,2020-09-22,2336,0.0,0
0,2020-09-23,2324,0.0,0
0,2020-09-24,2107,0.0,0
0,2020-09-25,1916,0.0,0
0,2020-09-26,1521,0.0,0
0,2020-09-27,1933,0.0,0
0,2020-09-28,2544,0.0,0
0,2020-09-29,2394,0.0,0
0,2020-09-30,2012,0.0,0
0,2020-10-01,1705,0.0,0
0,2020-10-02,1565,0.0,0
0,2020-10-03,1344,0.0,0
0,2020-10-04,1520,0.0,0
0,2020-10-05,1999,0.0,0
0,2020-10-06,2034,0.0,0
0,2020-10-07,2031,0.0,0
0,2020-10-08,1969,0.0,0
0,2020-10-09,1799,0.0,0
0,2020-10-10,1346,0.0,0
0,2020-10-11,1689,0.0,0
0,2020-10-12,2131,0.0,1
0,2020-10-13,2094,0.0,0
0,2020-10-14,2144,0.0,0
0,2020-10-15,2038,0.0,0
0,2020-10-16,1840,0.0,0
0,2020-10-17,1368,0.0,0
0,2020-10-18,1775,0.0,0
0,2020-10-19,2458,0.0,0
0,2020-10-20,2387,0.0,0
0,2020-10-21,2252,0.0,0
0,2020-10-22,2289,0.0,0
0,2020-10-23,1768,0.0,0
0,2020-10-24,1410,0.0,0
0,2020-10-25,1669,0.0,0
0,2020-10-26,2237,0.0,0
0,2020-10-27,2142,0.0,0
0,2020-10-28,1904,0.0,0
0,2020-10-29,1652,0.0,0
0,2020-10-30,1532,0.0,0
0,2020-10-31,1070,0.0,0
0,2020-11-01,1244,0.0,0
0,2020-11-02,1559,0.0,0
0,2020-11-03,1625,0.0,0
0,2020-11-04,1471,0.0,0
0,2020-11-05,1641,0.0,0
0,2020-11-06,1489,0.0,0
0,2020-11-07,1226,0.0,0
0,2020-11-08,1467,0.0,0
0,2020-11-09,1790,0.0,0
0,2020-11-10,1756,0.0,0
0,2020-11-11,1639,0.0,1
0,2020-11-12,1520,0.0,0
0,2020-11-13,1438,0.0,0
0,2020-11-14,999,0.0,0
0,2020-11-15,1292,0.0,0
0,2020-11-16,1696,0.0,0
0,2020-11-17,1736,0.0,0
0,2020-11-18,1687,0.0,0
0,2020-11-19,1649,0.0,0
0,2020-11-20,1494,0.0,0
0,2020-11-21,1163,0.0,0
0,2020-11-22,1299,0.0,0
0,2020-11-23,1715,0.0,0
0,2020-11-24,1549,0.0,0
0,2020-11-25,1525,0.0,0
0,2020-11-26,1360,0.0,1
0,2020-11-27,1183,0.0,0
0,2020-11-28,1109,0.0,0
0,2020-11-29,898,0.0,0
0,2020-11-30,1618,0.0,0
0,2020-12-01,1469,0.0,0
0,2020-12-02,1562,0.0,0
0,2020-12-03,1535,0.0,0
0,2020-12-04,1361,0.0,0
0,2020-12-05,1165,0.0,0
0,2020-12-06,1325,0.0,0
0,2020-12-07,1614,0.0,0
0,2020-12-08,1684,0.0,0
0,2020-12-09,1601,0.0,0
0,2020-12-10,1561,0.0,0
0,2020-12-11,1335,0.0,0
0,2020-12-12,1081,0.0,0
0,2020-12-13,1268,0.0,0
0,2020-12-14,1657,0.0,0
0,2020-12-15,1603,0.0,0
0,2020-12-16,1616,0.0,0
0,2020-12-17,1586,0.0,0
0,2020-12-18,1408,0.0,0
0,2020-12-19,1045,0.0,0
0,2020-12-20,1181,0.0,0
0,2020-12-21,1314,0.0,0
0,2020-12-22,1279,0.0,0
0,2020-12-23,1264,0.0,0
0,2020-12-24,903,0.0,0
0,2020-12-25,721,0.0,1
0,2020-12-26,776,0.0,0
0,2020-12-27,872,0.0,0
0,2020-12-28,1236,0.0,0
0,2020-12-29,1272,0.0,0
0,2020-12-30,1077,0.0,0
0,2020-12-31,875,0.0,0
0,2021-01-01,771,0.0,1
0,2021-01-02,955,0.0,0
0,2021-01-03,1025,0.0,0
0,2021-01-04,1391,0.0,0
0,2021-01-05,1429,0.0,0
0,2021-01-06,1273,0.0,0
0,2021-01-07,1386,0.0,0
0,2021-01-08,1289,0.0,0
0,2021-01-09,995,0.0,0
0,2021-01-10,1218,0.0,0
0,2021-01-11,1564,0.0,0
0,2021-01-12,1555,0.0,0
0,2021-01-13,1452,0.0,0
0,2021-01-14,1474,0.0,0
0,2021-01-15,1337,0.0,0
0,2021-01-16,937,0.0,0
0,2021-01-17,1156,0.0,0
0,2021-01-18,1511,0.0,1
0,2021-01-19,1646,0.0,0
0,2021-01-20,1547,0.0,0
0,2021-01-21,1443,0.0,0
0,2021-01-22,1229,0.0,0
0,2021-01-23,986,0.0,0
0,2021-01-24,1062,0.0,0
0,2021-01-25,1464,0.0,0
0,2021-01-26,1432,0.0,0
0,2021-01-27,1451,0.0,0
0,2021-01-28,1467,0.0,0
0,2021-01-29,1345,0.0,0
0,2021-01-30,997,0.0,0
0,2021-01-31,1169,0.0,0
0,2021-02-01,1534,0.0,0
0,2021-02-02,1500,0.0,0
0,2021-02-03,1524,0.0,0
0,2021-02-04,1618,0.0,0
0,2021-02-05,1366,0.0,0
0,2021-02-06,1049,0.0,0
0,2021-02-07,1139,0.0,0
0,2021-02-08,1635,0.0,0
0,2021-02-09,1491,0.0,0
0,2021-02-10,1589,0.0,0
0,2021-02-11,1362,0.0,0
0,2021-02-12,1225,0.0,0
0,2021-02-13,1013,0.0,0
0,2021-02-14,1095,0.0,0
0,2021-02-15,1589,0.0,1
0,2021-02-16,1611,0.0,0
0,2021-02-17,1671,0.0,0
0,2021-02-18,1770,0.0,0
0,2021-02-19,1432,0.0,0
0,2021-02-20,1131,0.0,0
0,2021-02-21,1150,0.0,0
0,2021-02-22,1763,0.0,0
0,2021-02-23,1600,0.0,0
0,2021-02-24,1582,0.0,0
0,2021-02-25,1518,0.0,0
0,2021-02-26,1363,0.0,0
0,2021-02-27,1045,0.0,0
0,2021-02-28,1220,0.0,0
0,2021-03-01,1537,0.0,0
0,2021-03-02,1752,0.0,0
0,2021-03-03,1675,0.0,0
0,2021-03-04,1527,0.0,0
0,2021-03-05,1441,0.0,0
0,2021-03-06,1064,0.0,0
0,2021-03-07,1197,0.0,0
0,2021-03-08,1631,0.0,0
0,2021-03-09,1679,0.0,0
0,2021-03-10,1644,0.0,0
0,2021-03-11,1595,0.0,0
0,2021-03-12,1448,0.0,0
0,2021-03-13,1997,0.0,0
0,2021-03-14,1481,0.0,0
0,2021-03-15,1679,0.0,0
0,2021-03-16,1653,0.0,0
0,2021-03-17,1668,0.0,0
0,2021-03-18,1576,0.0,0
0,2021-03-19,1268,0.0,0
0,2021-03-20,1092,0.0,0
0,2021-03-21,1245,0.0,0
0,2021-03-22,1737,0.0,0
0,2021-03-23,1728,0.0,0
0,2021-03-24,1636,0.0,0
0,2021-03-25,1626,0.0,0
0,2021-03-26,1346,0.0,0
0,2021-03-27,1042,0.0,0
0,2021-03-28,1067,0.0,0
0,2021-03-29,1599,0.0,0
0,2021-03-30,1562,0.0,0
0,2021-03-31,1564,0.0,0
0,2021-04-01,1261,0.0,0
0,2021-04-02,1105,0.0,0
0,2021-04-03,958,0.0,0
0,2021-04-04,998,0.0,0
0,2021-04-05,1351,0.0,0
0,2021-04-06,1420,0.0,0
0,2021-04-07,1515,0.0,0
0,2021-04-08,1576,0.0,0
0,2021-04-09,1365,0.0,0
0,2021-04-10,1067,0.0,0
0,2021-04-11,1271,0.0,0
0,2021-04-12,1536,0.0,0
0,2021-04-13,1490,0.0,0
0,2021-04-14,1622,0.0,0
0,2021-04-15,1495,0.0,0
0,2021-04-16,1387,0.0,0
0,2021-04-17,1035,0.0,0
0,2021-04-18,1163,0.0,0
0,2021-04-19,1663,0.0,0
0,2021-04-20,1438,0.0,0
0,2021-04-21,1583,0.0,0
0,2021-04-22,1373,0.0,0
0,2021-04-23,1210,0.0,0
0,2021-04-24,1043,0.0,0
0,2021-04-25,1205,0.0,0
0,2021-04-26,1896,0.0,0
0,2021-04-27,1548,0.0,0
0,2021-04-28,1654,0.0,0
0,2021-04-29,1517,0.0,0
0,2021-04-30,1315,0.0,0
0,2021-05-01,913,0.0,0
0,2021-05-02,1030,0.0,0
0,2021-05-03,1519,0.0,0
0,2021-05-04,1549,0.0,0
0,2021-05-05,1602,0.0,0
0,2021-05-06,1372,0.0,0
0,2021-05-07,1399,0.0,0
0,2021-05-08,1003,0.0,0
0,2021-05-09,1127,0.0,0
0,2021-05-10,1466,0.0,0
0,2021-05-11,1491,0.0,0
0,2021-05-12,1269,0.0,0
0,2021-05-13,1268,0.0,0
0,2021-05-14,1121,0.0,0
0,2021-05-15,985,0.0,0
0,2021-05-16,1208,0.0,0
0,2021-05-17,1496,0.0,0
0,2021-05-18,1446,0.0,0
0,2021-05-19,1348,0.0,0
0,2021-05-20,1307,0.0,0
0,2021-05-21,1159,0.0,0
0,2021-05-22,866,0.0,0
0,2021-05-23,1237,0.0,0
0,2021-05-24,1466,0.0,0
0,2021-05-25,1416,0.0,0
0,2021-05-26,1376,0.0,0
0,2021-05-27,1435,0.0,0
0,2021-05-28,1261,0.0,0
0,2021-05-29,1855,0.0,0
0,2021-05-30,999,0.0,0
0,2021-05-31,1223,0.0,1
0,2021-06-01,1274,0.0,0
0,2021-06-02,1253,0.0,0
0,2021-06-03,1302,0.0,0
0,2021-06-04,1168,0.0,0
0,2021-06-05,928,0.0,0
0,2021-06-06,1072,0.0,0
0,2021-06-07,1452,0.0,0
0,2021-06-08,1377,0.0,0
0,2021-06-09,1507,0.0,0
0,2021-06-10,1450,0.0,0
0,2021-06-11,1246,0.0,0
0,2021-06-12,841,0.0,0
0,2021-06-13,990,0.0,0
0,2021-06-14,1338,0.0,0
0,2021-06-15,1536,0.0,0
0,2021-06-16,1371,0.0,0
0,2021-06-17,2137,0.0,0
0,2021-06-18,1143,0.0,1
0,2021-06-19,844,0.0,1
0,2021-06-20,945,0.0,0
0,2021-06-21,1338,0.0,0
0,2021-06-22,1253,0.0,0
0,2021-06-23,1261,0.0,0
0,2021-06-24,1131,0.0,0
0,2021-06-25,1103,0.0,0
0,2021-06-26,744,0.0,0
0,2021-06-27,775,0.0,0
0,2021-06-28,1168,0.0,0
0,2021-06-29,1184,0.0,0
0,2021-06-30,1063,0.0,0
0,2021-07-01,1048,0.0,0
0,2021-07-02,962,0.0,0
0,2021-07-03,789,0.0,0
0,2021-07-04,823,0.0,1
0,2021-07-05,1177,0.0,1
0,2021-07-06,1184,0.0,0
0,2021-07-07,1175,0.0,0
0,2021-07-08,1201,0.0,0
0,2021-07-09,1037,0.0,0
0,2021-07-10,675,0.0,0
0,2021-07-11,780,0.0,0
0,2021-07-12,1232,0.0,0
0,2021-07-13,1279,0.0,0
0,2021-07-14,1279,0.0,0
0,2021-07-15,1315,0.0,0
0,2021-07-16,1018,0.0,0
0,2021-07-17,726,0.0,0
0,2021-07-18,774,0.0,0
0,2021-07-19,1118,0.0,0
0,2021-07-20,1208,0.0,0
0,2021-07-21,1191,0.0,0
0,2021-07-22,1151,0.0,0
0,2021-07-23,1061,0.0,0
0,2021-07-24,680,0.0,0
0,2021-07-25,821,0.0,0
0,2021-07-26,1164,0.0,0
0,2021-07-27,1204,0.0,0
0,2021-07-28,1202,0.0,0
0,2021-07-29,1117,0.0,0
0,2021-07-30,895,0.0,0
0,2021-07-31,705,0.0,0
0,2021-08-01,676,1.0,0
0,2021-08-02,1109,0.0,0
0,2021-08-03,1226,0.0,0
0,2021-08-04,1625,0.0,0
0,2021-08-05,1197,0.0,0
0,2021-08-06,966,0.0,0
0,2021-08-07,724,0.0,0
0,2021-08-08,807,0.0,0
0,2021-08-09,1182,0.0,0
0,2021-08-10,1164,0.0,0
0,2021-08-11,1102,0.0,0
0,2021-08-12,1092,0.0,0
0,2021-08-13,910,0.0,0
0,2021-08-14,687,0.0,0
0,2021-08-15,785,0.0,0
0,2021-08-16,1111,0.0,0
0,2021-08-17,1132,0.0,0
0,2021-08-18,1146,0.0,0
0,2021-08-19,1037,0.0,0
0,2021-08-20,925,0.0,0
0,2021-08-21,733,0.0,0
0,2021-08-22,715,0.0,0
0,2021-08-23,1080,0.0,0
0,2021-08-24,1091,0.0,0
0,2021-08-25,1170,0.0,0
0,2021-08-26,1070,0.0,0
0,2021-08-27,968,0.0,0
0,2021-08-28,599,0.0,0
0,2021-08-29,752,0.0,0
0,2021-08-30,1085,0.0,0
0,2021-08-31,1033,0.0,0
0,2021-09-01,1107,0.0,0
0,2021-09-02,1040,0.0,0
0,2021-09-03,884,0.0,0
0,2021-09-04,620,0.0,0
0,2021-09-05,710,0.0,0
0,2021-09-06,949,0.0,1
0,2021-09-07,1116,0.0,0
